year,tract,pop,lpa,mhlth,obese
1,42101007700,2380,20.5,18.7,24
2,42101007700,2380,25.7,18.8,24
3,42101007700,2380,24,18.8,22.5
4,42101007700,2380,24.7,21.7,23.3
5,42101007700,2302,17.6,20.7,23.7
1,42101007800,4177,19.1,16.4,28
2,42101007800,4177,23.3,15.8,28.2
3,42101007800,4177,21.4,16.9,26.5
4,42101007800,4177,22.1,18.2,27.3
5,42101007800,4358,17.9,18.1,29.5
1,42101007900,4553,16.6,14.6,26.3
2,42101007900,4553,21.3,14.7,27.4
3,42101007900,4553,19.5,16.1,25.7
4,42101007900,4553,20,17.1,26.5
5,42101007900,4722,14.8,15.8,27.2
1,42101008000,3951,26.1,17,36.1
2,42101008000,3951,28.6,15.4,35.4
3,42101008000,3951,27.2,16.4,33.5
4,42101008000,3951,27.9,17.4,34
5,42101008000,3942,20.2,16.8,33.4
1,42101008101,2758,34.2,20.7,42.2
2,42101008101,2758,38.7,19,41.7
3,42101008101,2758,37.4,19,39.5
4,42101008101,2758,38.4,20.7,40
5,42101008101,2715,34,20.9,42.5
1,42101008102,5028,36.5,21.3,42.6
2,42101008102,5028,40.9,19.5,42.3
3,42101008102,5028,39.6,19,40.1
4,42101008102,5028,40.8,21,40.6
5,42101008102,5034,32,20.6,41.2
1,42101008200,6797,30.3,17,38.1
2,42101008200,6797,35.8,16.4,38.8
3,42101008200,6797,34.8,16.9,36.6
4,42101008200,6797,35.4,18,37.2
5,42101008200,6935,33.9,20.7,43.4
1,42101008301,4081,33.4,17,37.5
2,42101008301,4081,38.9,16.3,38.8
3,42101008301,4081,38.5,16.5,36.4
4,42101008301,4081,39.3,17.6,36.9
5,42101008301,4310,34.6,19.3,40.7
1,42101008302,4307,33.3,19.6,40.5
2,42101008302,4307,39.5,18.9,41.6
3,42101008302,4307,38.3,18.7,39.4
4,42101008302,4307,39.1,20.4,40
5,42101008302,4998,34.5,22,41.5
1,42101008400,4488,34.1,20,41.1
2,42101008400,4488,40,19.3,41.8
3,42101008400,4488,38.7,19.1,39.7
4,42101008400,4488,39.7,20.9,40.2
5,42101008400,4611,32.5,19.8,41.5
1,42101008500,6313,35.4,21.7,41.9
2,42101008500,6313,39.2,19.5,41.3
3,42101008500,6313,37.8,19.2,39.2
4,42101008500,6313,38.7,21,39.7
5,42101008500,6773,31.2,21.8,40.9
1,42101008601,2947,16,15,24.9
2,42101008601,2947,21.1,15.2,25.7
3,42101008601,2947,19.2,16.5,24.1
4,42101008601,2947,19.7,17.7,24.8
5,42101008601,3212,16.4,17.6,27
1,42101008602,3010,26.2,17.8,35
2,42101008602,3010,33.1,18,37.1
3,42101008602,3010,31.5,18.1,35.2
4,42101008602,3010,32.3,20,35.8
5,42101008602,3452,28.2,21.9,37.3
1,42101008701,4147,15.2,15,20.9
2,42101008701,4147,19.5,15.2,21.2
3,42101008701,4147,17.6,16.3,19.9
4,42101008701,4147,18,18,20.6
